time,H_VV_out_alpha,H_VV_out_beta
365.0,-3.227308565398754e+19,-3.227308565398754e+19
366.0,-3.2361505066738192e+19,-3.2361505066738192e+19
367.0,-3.2449924479488844e+19,-3.2449924479488844e+19
368.0,-3.2538343892239495e+19,-3.2538343892239495e+19
369.0,-3.2626763304990147e+19,-3.2626763304990147e+19
370.0,-3.2715182717740798e+19,-3.2715182717740798e+19
371.0,-3.280360213049145e+19,-3.280360213049145e+19
372.0,-3.2892021543242097e+19,-3.2892021543242097e+19
373.0,-3.298044095599275e+19,-3.298044095599275e+19
374.0,-3.30688603687434e+19,-3.30688603687434e+19
375.0,-3.315727978149405e+19,-3.315727978149405e+19
376.0,-3.3245699194244702e+19,-3.3245699194244702e+19
377.0,-3.3334118606995354e+19,-3.3334118606995354e+19
378.0,-3.3422538019746005e+19,-3.3422538019746005e+19
379.0,-3.3510957432496652e+19,-3.3510957432496652e+19
380.0,-3.3599376845247304e+19,-3.3599376845247304e+19
381.0,-3.3687796257997955e+19,-3.3687796257997955e+19
382.0,-3.3776215670748606e+19,-3.3776215670748606e+19
383.0,-3.3864635083499258e+19,-3.3864635083499258e+19
384.0,-3.395305449624991e+19,-3.395305449624991e+19
385.0,-3.404147390900056e+19,-3.404147390900056e+19
386.0,-3.4129893321751208e+19,-3.4129893321751208e+19
387.0,-3.421831273450186e+19,-3.421831273450186e+19
388.0,-3.430673214725251e+19,-3.430673214725251e+19
389.0,-3.4395151560003162e+19,-3.4395151560003162e+19
390.0,-3.4483570972753875e+19,-3.4483570972753875e+19
391.0,-3.4571990385504526e+19,-3.4571990385504526e+19
392.0,-3.4660409798255178e+19,-3.4660409798255178e+19
393.0,-3.474882921100583e+19,-3.474882921100583e+19
394.0,-3.483724862375648e+19,-3.483724862375648e+19
395.0,-3.492566803650713e+19,-3.492566803650713e+19
396.0,-3.5014087449257783e+19,-3.5014087449257783e+19
397.0,-3.5102506862008435e+19,-3.5102506862008435e+19
398.0,-3.519092627475908e+19,-3.519092627475908e+19
399.0,-3.5279345687509733e+19,-3.5279345687509733e+19
400.0,-3.5367765100260385e+19,-3.5367765100260385e+19
401.0,-3.5456184513011036e+19,-3.5456184513011036e+19
402.0,-3.5544603925761688e+19,-3.5544603925761688e+19
403.0,-3.563302333851234e+19,-3.563302333851234e+19
404.0,-3.572144275126299e+19,-3.572144275126299e+19
405.0,-3.5809862164013638e+19,-3.5809862164013638e+19
406.0,-3.589828157676429e+19,-3.589828157676429e+19
407.0,-3.598670098951494e+19,-3.598670098951494e+19
408.0,-3.607512040226559e+19,-3.607512040226559e+19
